ownerId,id,senderId,receiverId,title,content,createdAt,isRead,readAt
koyoungeun,msg-021,agent-admin-security,koyoungeun,보안 교육 이수 요청,신규 입사자 필수 보안 교육 미이수 상태입니다. 이번 주 내로 온라인 교육 이수 부탁드립니다.,2025-01-15T14:00,true,
koyoungeun,msg-022,solum,koyoungeun,점심 식사 제안,"영은씨, 시간 괜찮으시면 구내 식당에서 함께 점심 식사라도 하시죠.",2025-02-20T11:45,
parkhonglim,msg-020,haegeum,parkhonglim,홍 언니,언니. 잘 자나? 갑자기 생각나서.,2025-04-12T23:30,false,
parkhonglim,msg-021,haegeum,parkhonglim,홍 언니,보고 싶네.,2025-06-25T01:15,false,
parkhonglim,msg-022,haegeum,parkhonglim,홍 언니,오늘 달이 참 밝다. 같이 봤으면 좋았을 텐데.,2025-08-15T22:45,false,
parkhonglim,msg-023,haegeum,parkhonglim,홍 언니,별일 없지?,2025-10-02T00:10,false,
parkhonglim,msg-024,haegeum,parkhonglim,홍 언니,홍 언니. 꿈에 나왔어. 얼굴 보니까 좋더라.,2025-11-20T23:55,false,
parkhonglim,msg-025,choiyowon,parkhonglim,,,2025-05-30T10:00,false,
parkhonglim,msg-026,choiyowon,parkhonglim,,,2025-09-10T14:30,false,
ryujaegwan,msg-020,choiyowon,ryujaegwan,FW: 업무 협조,"-----Original Message-----,,,
From: 해금,,,,,,,,
Sent: 2025-12-17,,,,,,,,
Content: 우리 팀 일 잘 처리해둬라,,,,,,,,
,,,,,,,,
재관아 누님이 미쳤나보다",2025-12-17T10:05,false,,,,,,
ryujaegwan,msg-021,agent-baekho-001,ryujaegwan,업무 지원 요청,"안녕하세요 류재관 요원님, 바쁘신 와중에 죄송합니다. 현장에 부적이 하나 발견되었는데 혹시 시간 되실 때 확인 한 번 부탁드려도 될까요? 급한 건 아닙니다.",2026-01-01T03:20:10.512Z,
ryujaegwan,msg-022,agent-baekho-002,ryujaegwan,업무 지원 요청,안녕하십니까 재관님! 현장 조사 중에 특이한 부적이 나와서요... 전문가이신 재관님의 고견이 필요합니다. 한번만 봐주시면 정말 감사하겠습니다 ㅠㅠ,2026-01-08T03:20:10.512Z,true,
ryujaegwan,msg-023,ryujaegwan,choiyowon,사무실 비품 관련,"요원님, 사무실 내 물품 파손 주의 부탁드립니다. 특히 공용 비품은 개인 소유물이 아니니 조금만 더 조심해서 다뤄주시면 감사하겠습니다. 제발요.",2026-01-09T03:20:10.512Z,
ryujaegwan,msg-024,agent-admin-002,ryujaegwan,자전거 점검 계획,"안녕하세요, 총무팀입니다. 금일 자전거 점검이 예정되어 있으니 지하 1층 보관소에 보관 중인 개인 자전거가 있다면 확인 부탁드립니다.",2026-01-02T09:00:00,
solum,msg-020,agent-bh-005,solum,잘 지내시죠?,"솔음씨, 백일몽 스파이라는 소문 들었습니다. 사실이든 아니든 상관없습니다. 솔음씨가 재난 현장에서 그 누구보다 열심히 민간인 구조에 임했다는 사실은 변하지 않으니까요. 꼭 돌아오세요.",2025-05-15T10:30,
solum,msg-021,agent-jj-002,solum,꼭 전하고 싶었습니다,"덕분에 제 동생을 찾았습니다. 스파이라서 우리 정보를 빼돌렸네 어쩌네 해도, 저한테 솔음씨는 은인입니다. 감사합니다.",2025-06-02T14:20,
solum,msg-022,agent-admin-099,solum,배신자 새끼,백일몽 주식회사라니.. 그 새끼들 실체를 알면서 어떻게 그럴 수 있냐? 재밌었지? 너도 똑같은 쓰레기다 개새끼야. ,2025-05-20T09:00,false,
solum,msg-023,agent-hm-009,solum,돌아와주세요,이유가 있으셨겠죠. 기다리고 있겠습니다.,2025-09-10T16:45,false,
solum,msg-024,agent-jj-005,solum,감사했습니다,어디에 있든 건강만 하세요.,2025-11-05T19:30,false,
solum,msg-025,agent-bh-102,solum,역겹다,착한 척 정의로운 척 혼자 다 하더니 뒤로는 딴주머니 차고 있었네. 다시는 마주치지 말자.,2025-07-12T11:15,false,
solum,msg-026,agent-support-001,solum,감사했습니다,지난번 장비실 화재 때 도와주셔서 정말 감사했습니다. 솔음님이 어떤 분인지는 제가 겪은 걸로 판단할게요. 힘내세요.,2025-10-25T13:00,false,
solum,msg-027,agent-unknown,solum,속죄하세요,당신 같은 사람들 때문에 죽고 다친 사람들이 한 트럭이다. 평생 속죄하며 살아라.,2025-08-30T22:00,false,
solum,msg-029,choiyowon,solum,개자식아,,2025-05-10T23:45,false,
solum,msg-030,choiyowon,solum,포도야,,2025-06-20T02:15,false,
solum,msg-031,choiyowon,solum,솔음아,살아있지?,2025-08-01T04:30,false,
solum,msg-032,agent-admin-hr,solum,사원증 발급 안내,신규 사원증 발급이 완료되었습니다. 경영지원팀 방문하여수령 바랍니다.,2025-01-15T09:30,true,
solum,msg-033,agent-admin-security,solum,보안 교육 이수 요청,신규 입사자 필수 보안 교육 미이수 상태입니다. 이번 주 내로 온라인 교육 이수 부탁드립니다.,2025-01-15T14:00,true,
solum,msg-022,solum,koyoungeun,점심 식사 제안,"영은씨, 시간 괜찮으시면 구내 식당에서 함께 점심 식사라도 하시죠.",2025-02-20T11:45,
solum,msg-042,solum,janghyeowoon,점심 식사 제안,"허운씨, 시간 괜찮으시면 구내 식당에서 함께 점심 식사라도 하시죠.",2025-03-15T11:45,
